id,sku,name,category,description,price,stock_quantity,image_url,product_url
1,GEN-710D2C51,Sonicgear Earpump Tws 12 Anc Earbuds,Earbuds,"Overview:
SonicGear Earpump TWS 12 Active Noise Cancelling Bluetooth Earbuds
Active Noise Cancelling (Produce low-frequency noise and creates immerse wave before it reaches the ear)
Powerful Bass
High Clarity Audio
Bluetooth 5.0
Super Comfortable Silicon Gel
Play Time up to 32 Hours (6.5 Hours playback for Earbuds + 26 Hours for Charging Case)
Battery Case Capacity: 330 mAh
Faster and easier connection
Stabel signal
Low power consumption intelligntly
Compatible for Android / IOS / Window Operating System
Tap 3 time on the earbuds to activate intelligent voice assistant on your smartphone.

Specifications:
Specification
Driver Size : 2 x 13MM
Driver Sensitivity at 1 KHz/1mW : 99.47 ± 1.5db
Frequency Response : 20Hz - 20KHz
Maximum Input Power : 5mW
Impedance : 32Ω ± 15%
Wireless Effective Distance : Up to 10M
Battery Type : Lithium-ion Battery (3.7V)
Charging Time : 1 Hour for Earbuds , 2 Hours for Charging Case from empty
PlayTime : Up to 6.5 Hours @ 50% Volume
Active Noise Cancelling
Noise Reduction Frequency Range : 40Hz - 1KHz
Max. Noise Reduction Level : 30dB ± 2db
Noise Reduction Central Frequency : 100Hz - 500Hz
Playtime with ANC Mode : Up to 5.5 Hours @ 50% Volume (5.5 Hours Playback for Earbuds + 22 Hours for Charging Case)",11590.00,50,https://lifestore.lk/sites/default/files/styles/product_image_large/public/2023-10/SonicGearEarpumpTWS12.jpg?itok=dyJTnT-s,https://lifestore.lk/product/sonicgear-earpump-tws-12-anc-earbuds
2,GEN-310F14AC,Sonicgear Tws 5 Pro Earbuds,Earbuds,"Overview:
SonicGear TWS 5 Pro Wireless Stereo Earbuds | Bluetooth 5.0 | 32 Hours Playtime
Bluetooth 5.0
Ergonomic In Ear Design
Stereo Sound
Touch Control
Super Mic Reception
Charging Time : 1 Hour ( From 0 to 100% )
8 Hour Music Play Time (50% Volume) + 24 Hour for Battery Case
Battery Case Capacity: 500 mAh
Support Intelligent Voice Assistant ( Siri and Google Assistant )
Driver Size : 6mm
Frequency Response : 50hz - 20khz

Specifications:
Bluetooth 5.0
Ergonomic In Ear Design
Stereo Sound
Touch Control
Super Mic Reception
Charging Time : 1 Hour ( From 0 to 100% )
8 Hour Music Play Time (50% Volume) + 24 Hour for Battery Case
Battery Case Capacity: 500 mAh
Support Intelligent Voice Assistant ( Siri and Google Assistant )
Driver Size : 6mm
Frequency Response : 50hz - 20khz",8450.00,50,https://lifestore.lk/sites/default/files/styles/product_image_large/public/2023-10/SSonicGearTWS5.jpg?itok=Nb3bKpVH,https://lifestore.lk/product/sonicgear-tws-5-pro-earbuds
3,GEN-6BF410DD,Sonicgear Tws 16 Anc Wireless Earbuds,Earbuds,"Overview:
Bluetooth 5.2
Active Noise Cancellation
ENC - IPX 4 Water Resistant
Polymer Lithium
Stereo Sound
Support Intelligent Voice Assistant
28 Hour Playback Time

Specifications:
Specifications :
Low Latency : 55ms
Call Noise Reduction Algorithm : Single Mic DNN
Microphone Type : MEMS
Microphone Sensitivity : -42dB
Microphone Direction : Omni
SNR : 59dB - Impedance : 16 Ohm
Sensitivity : 93 +/- 3dB - Rated Power : 3mW
Bluetooth Specifications :
Version : 5.2
Wireless Range (Meter) : 10
Audio Decoding Format : AAC SBC
Battery Specifications :
Battery Type : Polymer Lithium
Working Voltage : 3.7v
Battery Capacity : 40 mAh
Charging Case : 3.7v / 500mAh
Charging Port : Type C - Charging Voltage : DC 5v
Charging Time from Empty : 1 Hour For Earphone , 2 Hour For Charging Case
Earphone Playback Time @ 50% Volume Scale : 5.5 Hour - Total Playback Time : DC 5v
What's In the Box :
TWS 16 ANC
Type C Charging Cable
Ear Gel Warranty Guide :
1 Year Manufactor Warranty
No Register Needed
Purchased Details Required
Service Centre in Petaling Jaya ( Waze : Leapfrog Distribution Sdn Bhd )
Available walk in or send back to us by postage",12135.00,50,https://lifestore.lk/sites/default/files/styles/product_image_large/public/2023-10/SonicGearTWS16.jpg?itok=TJTpnBxC,https://lifestore.lk/product/sonicgear-tws-16-anc-wireless-earbuds
4,GEN-A1C9AF4B,Sonicgear Tws Comfy 1 Earbuds,Earbuds,"Overview:
Bluetooth Connection
Built In Microphone
IPX-5 Splash Proof
Up to 35 Hours Playtime
Support Intelligent Voice Assistant
Powerful Bass

Specifications:
Specifications :
Bluetooth Version : 5.1 (BR + EDR + BLE)
Wireless Effective Distance : 10m
Driver Size : 10mm
Driver Sensitivity :@ 1kHz / 1mW (dB) : 109 +/- 3
Dynamic Frequency Response Range : 20 - 20000Hz
Impedance : 32 Ohm +/- 10%
Number Of Driver : 1 / Per Ear
Number Of Microphone : 1 / Per Ear
Bluetooth Profile : SBC / AAC
Charging Case Specifications :
Battery TAype : Lithium-Ion
Battery Voltage : 3.7v / 30 mAh
Case Battery Type : Lithium-Ion
Case Battery Voltage : 3.7v / 300 mAh
Charging Port : Type-C
Charging Time From Empty Until Full :
Earbuds : 1.5 Hours
Charging Case : 3 Hours
Earphones Playback Time :
Earbuds Playback Time : 5 Hours @ 50% Volume
Total Playback time : 30 Hours
Product Dimensions :
Earbuds : 38 x 27 x 18mm
Case : 43 x 52 x 28mm
Package Content :
Comfy 1
Ear
User Manual
Warranty Instruction
Warranty no register needed.
SonicGear 1 Years Limited Manufacture Warranty
Provide Order ID on platform for warranty claim purpose
Service Centre in Kota Damansara (Available for walk in warranty) or send to our service centre via postage
Free Gift :",7830.00,50,https://lifestore.lk/sites/default/files/styles/product_image_large/public/2023-10/SonicGearTW-Comfy1.jpg?itok=-0n8e_LR,https://lifestore.lk/product/sonicgear-tws-comfy-1-earbuds
5,GEN-50990047,D Link Ac1200 Wi Fi Range Extender,Wi-Fi Adaptors,"Overview:
Extend your wireless network
The DAP-1610 is a wall-plug Wi-Fi range extender that increases and improves your existing Wi-Fi signal with more coverage and dual-band speeds of up to 1200 Mbps.
Bring life to signal dead zones
Plug in to a power outlet to extend your home’s wireless network and start enjoying a blazing-fast and reliable wireless connection, even in those harder-to-reach areas.

Specifications:
Wireless standard - Wireless AC
Frequency band mode - Dual-band simultaneous
Wireless speed - 300 Mbps 2.4 GHz / 867 Mbps 5 GHz
Antenna type - 2 fixed omni-directional antennas
Wired interface- 1 x Fast Ethernet LAN
Wireless modes- Wireless client / Wireless extender",15045.00,50,https://lifestore.lk/sites/default/files/styles/product_image_large/public/2024-02/DLinkDAP1610.jpg?itok=4balBnkA,https://lifestore.lk/product/d-link-ac1200-wi-fi-range-extender
6,GEN-1EFCE0D8,Prolink Wireless Usb Adapter,Wi-Fi Adaptors,"Overview:
The PROLiNK® DH-5102U AC650 Wireless USB Adapter Adapters. It is supports dual-band wireless (2.4 GHz and 5 GHz band) that provide flexible connectivity which compliant with the 802.11b/g/n/ac standard. The Wi-Fi speed of 433Mbps on 5GHz is ideal for HD video streaming and online gaming, while 200Mbps on 2.4GHz is perfect for daily use such as web surfing.

Specifications:
Wireless Standard -
IEEE 802.11b/g/n/ac
Wireless LAN -
1T1R mode
Connect Type -
USB2.0
Antenna -
Integrated Antenna
Wireless Frequency
2.4GHz / 5GHz
Wireless Data Rate
11ac: Up to 433Mbps
11n: Up to 200Mbps
11g: Up to 54Mbps
11b: Up to 11Mbps
Wireless Transmit  Power -
Up to 20dBm (EIRP)
Wireless Security
WPA-PSK/WPA2-PSK
WPA3
WEP
Supported Operating System
Windows XP/Vista/7/8/8.1/10
Linux
MacOS 10.6 ~ 10.15",5540.00,50,https://lifestore.lk/sites/default/files/styles/product_image_large/public/2021-06/ProlinkWi-FiAdaptor.jpg?itok=f5OmkhEF,https://lifestore.lk/product/prolink-wireless-usb-adapter
7,GEN-88CD933D,Cudy Ac1200 Dual Band Range Extender,Wi-Fi Adaptors,"Overview:
2.4 GHz 300Mbps + 5 GHz 867Mbps Wi-Fi Speed
2-in-1 WiFi Extender / Access Point
WPS Quick Setup
Cudy Whole Home Mesh

Specifications:
Cudy AC1200 Dual Band Range Extender
2.4 GHz 300Mbps+5 GHz 867Mbps Wi-Fi Speed
Boosted Wi-Fi coverage with Beamforming
Work with any standard router or gateway
Easily expand wireless coverage at a push of the WPS button
Fast Ethernet ports to connect wired devices
External antennas for faster and more reliable Wi-Fi
2-in-1 WiFi Extender / Access Point
Easy Setup Assistant with multi-language support",12890.00,50,https://lifestore.lk/sites/default/files/styles/product_image_large/public/2024-02/CudyAC1200-1.jpg?itok=T31YWGfm,https://lifestore.lk/product/cudy-ac1200-dual-band-range-extender
8,GEN-EA8AAC22,Tp Link Wireless N Usb Adapter,Wi-Fi Adaptors,"Overview:
TP-Link TL-WN821N 300Mbps Wireless N USB Adapter
Excellent N speed brings the best experience for HD video streaming or Internet calls
MIMO technology with stronger signal penetration strength, wider wireless coverage, providing better performance and stability
Easy wireless security encryption at a push of the WPS button
Supports Windows XP / Vista / 7 / 8 / 8.1, Mac OS X 10.7~10.10, Linux

Specifications:
InterfaceUSB 2.0
ButtonWPS Push Button
Dimensions ( W x D x H )2.7x 0.8 x 0.4 in. (69 x 21 x 9.5mm)
Antenna TypeOn-Board
WIRELESS FEATURES
Wireless StandardsIEEE 802.11n, IEEE 802.11g, IEEE 802.11b
Frequency2.400-2.4835GHz
Signal Rate11n: Up to 300Mbps(dynamic)
11g: Up to 54Mbps(dynamic)
11b: Up to 11Mbps(dynamic)
Reception Sensitivity270M: -62dBm@10% PER
130M: -65dBm@10% PER
108M: -68dBm@10% PER
54M: -68dBm@10% PER
11M: -85dBm@8% PER
6M: -88dBm@10% PER
1M: -90dBm@8% PER
Transmit Power
<20dBm(EIRP)
Wireless Modes
Ad-Hoc / Infrastructure mode
Wireless SecuritySupport
64/128 bit WEP, WPA-PSK/WPA2-PSK
Modulation Technology
DBPSK, DQPSK, CCK, OFDM, 16-QAM, 64-QAM",2115.00,50,https://lifestore.lk/sites/default/files/styles/product_image_large/public/2021-12/TPLinkUSBAdaptor.jpg?itok=9G_ILlk0,https://lifestore.lk/product/tp-link-wireless-n-usb-adapter
9,GEN-F3E2AA72,Tenda Mx3 2 Pack Mesh Wi Fi 6 System,Wi-Fi Adaptors,"Overview:
MX3 is a Mesh Wi-Fi system designed to provide whole-home Wi-Fi 6 for medium to large houses. Supporting easymesh technology, the MX3 is equipped with high-performance enhancement modules for powerful penetration and broader coverage. It can easily cover up to 270m² (3000ft²) with 3 nodes. MX3 supports OFDMA and MU-MIMO technology so that multiple devices can be connected simultaneously without dragging down performance. It's easy to set up in 3 steps, you can enjoy a fast wireless network at any time.

Specifications:
Standard&Protocol
IEEE 802.3, IEEE 802.3u, IEEE 802.3ab
Ethernet Interface
10/100/1000Mbps WAN port*1
10/100/1000Mbps LAN port*1
Antenna
2 x 3dBi Internal antenna
Button
1 x Reset Button
1 x MESH Button
Power
Input: AC 100-240V~50/60Hz
Output:DC 12V⎓1A
Dimension
90*90*93 mm (3.54*3.54*3.65 in.)
LED Indicator
SYS*1
Wireless Standard
2.4GHz：IEEE 802.11n/b/g
5GHz：IEEE 802.11ax/ac/n/a
Wireless roaming
Comply with IEEE802.11k/v
Mesh network Standard
Tenda EasyMesh
Rate
5GHz:1201Mbps
2.4GHz:300Mbps
Frequency
2.4GHz & 5GHz
Transmission Power
CE:
<20dBm(2.4GHz)
<23dBm(5GHz)
FCC:
<30dBm(2.4GHz)
<30dBm(5GHz)
Basic Features
OFDMA
MU-MIMO
Beamforming
Wireless Security
WPA2-PSK
WPA3-SAE/WPA2-PSK
Wireless Encryption Disable and Enable
WPS Fast Connection
Operating Mode
Router Mode,AP Mode
Internet Connection Type
PPPoE, Dynamic IP, Static IP
PPPoE(Russia), PPTP(Russia), L2TP(Russia)
Unify,Maxis,Maxis-special,Celcom,Digi
DHCP Server
DHCP Server
DHCP Client List
DHCP Reservation
Virtual Server
Port Forwarding
DMZ Host
UPnP
Parental Control
URL Filter
Time Limit
Firewall
Forbid UDP Flood Attack
Forbid TCP Flood Attack
Forbid ICMP Flood Attack
Forbid WAN Ping from Internet
VPN
IPsec Pass Through
PPTP Pass Through
L2TP Pass Through
PPTP VPN Server
PPTP VPN Client
L2TP VPN Client
DNS
Support DynDNS, No-ip
Special Features
WPA3
TR069
Tenda EasyMesh
Unify 2.4 GHz & 5 GHz
Smart LED on/off
Amazon Alexa
One-button Fault Diagnosis
Broadband Account Migration
Tenda App: Local and Remote ManagementSpeed Test
Monthly Report
Others
IPTV
IPv6
Guest Network
System Log
Remote Web Management
MAC Clone
Backup & Restore configurations
Support automatic access detection
Firmware upgrade online
Operation Temperature
0 ~ 40 ℃
Storage Temperature
-40 ~ 70 ℃
Operating Humidity
10%~90% RH non-condensing
Storage Humidity
5%~90% RH non-condensing
APP installation
Available in iOS 8.0 or later, Android 4.0 or later
Certification
CE
FCC
RoHS
Package Contents
Mesh3X*3
Quick Installation Guide*1
Gigabit Ethernet Cable*1
12/1A Power Adapter*3",26625.00,50,https://lifestore.lk/sites/default/files/styles/product_image_large/public/2024-07/TendaMX3.jpg?itok=nxYfCefK,https://lifestore.lk/product/tenda-mx3-2-pack-mesh-wi-fi-6-system
10,GEN-2BA69916,Basic Pstn Phone D Top Dt100,Special Offers,"
Specifications:
Redialing Facility
High & Low Ringer Volume Levels
Handset Code Length - 1.5m
Warranty – 1 Tear",3360.00,50,https://lifestore.lk/sites/default/files/styles/product_image_large/public/2024-10/new-100.jpg?itok=2I1zJU3M,https://lifestore.lk/product/basic-pstn-phone-d-top-dt100
